編號,類別,時間,標題,內容
217,鴻海新聞,9/7/2016 12:47,台幣三天升幅創五年來之最 受i7加Fed雙利多激勵,新台幣三天來升幅創下五年來之最，外資在蘋果發表iPhone 7之前繼續追捧蘋概股，聯準會（Fed）本月升息機會渺茫，也導致美元走貶。新台幣兌美元今天上午升0.5%至31.272，三天升幅達1.4%。台灣加權股價指數漲0.7%，達到2015年7月來最高。台積電和鴻海領漲。外資本周頭兩天買超台股5.88億美元，據彭博統計金額在九個亞洲股市最大。台股上漲，也因為美國就業和製造業景氣不如預期，投資人認為美國本月不至貿然升息。彭博引述晉昂投顧洪瑞泰表示，蘋果明天凌晨將發表新iPhone，台灣供應商因獲利前景看好上漲，加上美國升息預期心理減退，帶動外資湧入台灣股匯市。台積電漲2.2%，本周漲幅達4.6%，鴻海這三天也漲3.6%。台灣加權股價指數本周已漲2.9%，漲幅是MSCI世界指數的三倍。ING Groep亞洲研究主管康登（Tim Condon）認為，央行預料會進場調節以緩和波動，但不會逆市場走勢，隨外資持續進場，台幣還會繼續走升。
218,鴻海新聞,9/7/2016 17:57,郭董斥資5.5億元 買下信義富邦豪宅,東森房屋統計台北市最新實價登錄行情發現，鴻海集團總裁郭台銘2014年12月以億銈投資公司名義，買下位於北市信義區松勇路27號1樓的「信義富邦國際館」，總價高達5.5億元，拆算車位後，每坪達358.46萬元，已勝過「帝寶」每坪298.2萬元紀錄，成為全台最貴的豪宅。信義計畫區豪宅「信義富邦國際館」自實價登錄上路來，首度揭露4筆交易，其中一筆高達7.5億元、3樓透天厝交易，移轉面積347.51坪，創今年全台豪宅總價最高紀錄，根據謄本顯示，買方為某國際投資公司。東森房屋發現，郭台銘用億銈投資公司名義，以現金5.5億元買下的1樓，面積則為188.35坪，拆算2車位39.82坪、每個車位700萬元估算，每坪單價高達358.46萬元，已超出「帝寶」每坪298.2萬元「天花板行情」，「信義富邦國際館」成為全台最貴豪宅。東森房屋研究中心副理于靜芳表示，「信義富邦國際館」很少在市面流通，自實價登錄上路來，市場上屢有交易消息，但都未揭露，這次首度揭露4筆交易，不僅突破「帝寶」行情，成為全台最貴豪宅，也打破央行總裁彭淮南每坪300萬元的防線。于靜芳指出，但這些交易都是在2014、2015年成交，相較之下今年豪宅交易冷，只剩豪宅王「松濤苑」維持每坪270萬元行情，「文華苑」、「吾疆」、「輕井澤」都已跌破每坪200萬元行情，豪宅行情後續仍待觀察。
219,鴻海新聞,9/7/2016 18:02,郭董買豪宅一坪358萬元 突破彭淮南防線,信義計畫區知名豪宅「信義富邦-國際館」今天首度揭露交易行情，共四筆，其中，鴻海集團總裁郭台銘在2014年12月以億銈投資公司名義買下的一樓，總價達5.5億元，拆算車位後，單價每坪358萬元，已高過「帝寶」每坪298萬元的紀錄，成為全台最貴的豪宅。東森房屋研究中心副理于靜芳表示，信義計畫區豪宅「信義富邦-國際館」很少在市面流通，自實價上路來，市場上過去屢有交易消息，但都未揭露，這次首度一次揭露4筆交易，其中，一樓住宅成交總價高達5.5億元，單價每坪高達358.4萬元，顯示央行總裁彭淮南的每坪300萬的防線早已突破。「信義富邦-國際館」今天揭露總價最高達7.5億元，為3層樓透天，移轉面積347.5坪，是今年豪宅總價最高紀錄，謄本顯示，買方為國際投資公司。于靜芳指出，而去年該社區另2筆揭露則在去年1月、3月交易，拆算單價也都雙雙擠進了「200萬元俱樂部」。信義房屋不動產企研室專案經理曾敬德表示，此次成交單價高達358萬元的信義富邦，遠遠高過於「皇翔御琚」與「帝寶」等指標豪宅，研判2014年底的購屋當時，應該是房地產的景氣高檔，加上一樓通常可能有大面積的庭院或約定專用的面積，屬於社區中的特殊戶別，才能夠創造這樣的高價。
220,鴻海新聞,9/8/2016 9:31,iPhone7隆重登場 蘋果概念股振奮,蘋果最新iPhone7今天凌晨正式發表，防水、耳機孔不見、雙鏡頭都是新亮點，新品發表後Apple股價拉尾盤以上漲0.61%作收，今天台灣相關蘋概股大多以紅盤開出。由於市場對 iPhone7原本期待值並沒有太高，新品發表會後，Apple股價反倒上演大拉尾盤戲碼，早盤一度翻落平盤下，尾盤奮力拉高，由黑翻紅終場上漲0.66美元，收在108.36美元，漲幅0.61%，創下2個星期來的高點。在蘋果股價拉尾盤以紅盤作收激勵下，台灣相關蘋概今天普遍以紅盤開出，其中尤以玉晶光、可成、台郡漲幅在2%以上表現相對突出，其他個股維持小漲格局，大立光、和碩及台達電則翻黑。不過值得留意的是，iPhone把耳機孔取消了，取而代之的是使用Lightning介面（也就是充電介面）的耳機，或是透過iPhone盒裝內附的Lightning轉3.5mm轉接頭，來轉換接上傳統耳機。這樣的大轉變勢必造成供應鏈幾家歡樂幾家愁，另外，防水、雙鏡頭、容量升級、更強的處理器等改變，也讓不少廠商受惠。亞系外資分析，晶圓代工廠台積電獨家供應A10處理器，可望直接受惠，iPhone 7 Plus的大光圈與雙鏡頭模組對LG Innotek與大立光有利，DRAM記憶體升級為3GB和NAND記憶體儲存容量升級為256GB，則對三星有利。另外金屬機殼廠可成、代工廠鴻海、和碩、電源供應器廠台達電都將受惠。
221,鴻海新聞,9/8/2016 9:54,iPhone 7拉貨給力 鴻海9月搭順風車,蘋果iPhone 7終於亮相，蘋果合作夥伴鴻海早盤最高來到79.7元，小漲0.25%。法人預期，鴻海9月可明顯受惠iPhone 7拉貨力道。蘋果今天凌晨舉辦發表會，公布新款iPhone 7/7Plus以及Apple Watch Series 2。市場預期，和碩負責組裝部分的iPhone 7，鴻海負責組裝大部分的iPhone 7和獨家組裝iPhone 7 Plus。鴻海富士康在中國大陸河南鄭州廠區和廣東深圳觀瀾廠區產量，本月起可大幅拉升。中國大陸媒體河南日報日前報導，37.1萬支iPhone新品，已從河南鄭州富士康出貨，主要運往美國、英國、荷蘭、義大利等地。法人預期，蘋果主要合作夥伴鴻海從9月開始，可明顯受惠iPhone 7拉貨力道，預期鴻海第3季業績表現將爬坡增溫，有機會優於第2季。iPhone 7系列新推霧面黑色和曜石黑色機種，共推出5大色系，內建A10 Fusion晶片處理器，主畫面按鈕採用固態式按鈕，兼具按壓感應。iPhone 7系列螢幕支援廣色域技術，3D Touch整合iOS作業系統，改採Lightning連接器插孔轉接器，具備立體揚聲器功能，搭配可無線傳遞音訊的AirPods。iPhone 7/7 Plus都具備防潑抗水與防塵功能，達到IEC 60529標準的IP67等級。iPhone 7系列儲存容量有32GB、128GB和256GB等選項。5.5吋iPhone 7 Plus擁有2個1200萬畫素全新攝錄鏡頭。
222,鴻海新聞,9/8/2016 13:52,郭台銘欽點！鴻海老將吳惠鋒擔任樺漢新董座,鴻海科技集團旗下專注於IPC市場的子公司樺漢今日公告，董事會通過推選鴻海副總裁吳惠鋒為新任董事長。樺漢表示，為推展樺漢多元化事業版圖，鴻海集團郭台銘總裁欽點具有豐富管理經驗及技術資源的吳惠鋒擔任樺漢董事長，領導公司成長，並配合集團「雲移物大智網+機器人」發展策略，持續深耕工業4.0、IoT、Bank 3.0、工業伺服器、資料儲存系統、網路安全、手持終端等領域，進一步深化集團資源整合綜效樺漢表示，自2014年上市以來，公司除了積極發展IPC各應用領域，再加上併購與策略聯盟，快速拓增業務規模，展現亮眼的經營實績。而原董事長樓朝宗則仍擔任董事，於其擅長的財務規劃與資本運作等方面穩健運營；此布局加上已經營管理公司多年之朱復銓總經理，結合成陣容堅強的鐵三角，未來樺漢將以精實的財務管理，多元化的開發技術及全方位的業務及投資拓展，開創未來更穩定快速的成長，締造樺漢新紀元。
223,鴻海新聞,9/8/2016 15:13,拉貨熱 業成、宸鴻、瑞儀月績升火,蘋果iPhone 7終於亮相，而在這之前，相關蘋果供應鏈拉貨潮啟動，鴻海集團旗下觸控面板大廠GIS-KY業成（6456）8月合併營收為63.89億元，月增23.43%。外界常說「一顆蘋果救台灣科技廠」，而在蘋果新一代手機亮相前，相關供應鏈的拉貨潮早已陸續啟動，業成也因此擺脫第2季低迷的營運表現，7月、8月營收都有明顯回溫，該公司為蘋果iPhone的3D Touch供應商，蘋果新品效應啟動，外界樂觀看待下半年營收可望恢復成長，營收與獲利都將雙雙回升。展望未來，業成靠著MegaSite一條龍形式出貨，身為鴻海旗艦軍團之一，外界認為，鴻夏戀生效後，業成可望能把一條龍出貨模式使用得更加徹底；再加上下半年隨著美系客戶新款產品的進入拉貨旺季潮，在大客戶的加持下，法人預估，該公司今年第3季營收將至少季增7成以上，單季也可望能夠轉虧為盈。另外一家觸控面板大廠TPK-KY宸鴻（3673）8月合併營收為100.48億元，月增35.4%，年減15.0%，受惠蘋果開始拉貨，單月營收再度重返百億元大關，登上今年以來高點。而背光模組大廠瑞儀（6176）今年第2季表現雖不如預期，業績也悶了許久，但7、8月營收因大客戶新機種帶動下已連續回升。
224,鴻海新聞,9/8/2016 19:00,鴻海集團砸37.7億元 間接投資滴滴叫車,鴻海代子公司公告取得小桔快智（Xiaoju Kuaizhi）股權，投資金額約1.198億美元（約合新台幣37.73億元），投資中國大陸滴滴叫車。鴻海代子公司Foxteq Holdings 公告，以每股38.227美元，取得Xiaoju Kuaizhi股權313萬5650股，交易金額達1.198億美元，持股比例0.36%。鴻海表示，此次交易為長期投資。市場人士指出，小桔快智（Xiaoju Kuaizhi）是滴滴和快的完成合併之後的營運主體，轄下營運滴滴、快的、順風車、專車等。鴻海透過此次交易，投資中國大陸滴滴出行叫車服務。蘋果（Apple）今年5月中旬砸10億美元投資中國大陸叫車服務App「滴滴出行」，引發外界高度聯想。國外媒體推測，蘋果這項投資，與布局自動駕駛有關。國外媒體報導，「滴滴出行」不僅獲得蘋果投資，之前也獲得中國大陸騰訊和阿里巴巴資金挹注，去年「滴滴出行」也與美國共乘服務公司Lyft策略結盟，Lyft是叫車服務公司優步（Uber）在美國最大的競爭對手。「滴滴出行」的應用軟體App，可與支付系統整合，包括蘋果的Apple Pay，雙方合作可強化行動商務交易技術應用的基礎。
225,鴻海新聞,9/9/2016 1:06,東捷營運將旺到年底,受惠於兩岸面板設備進入交貨高峰期，東捷（8064）昨（8）日公布今年8月合併營收3.85億元，月增15.8%，年增44.9%，創近26個月新高。東捷表示，在手訂單交期排到明年中，今年下半年進入交貨和入帳高峰，將一路旺到年底，有效帶動營運表現。東捷累計今年前八個月合併營收 22.62億元，年增18.5%。今年第3季7月和8月都交出單月營收站上3億元的佳績。東捷總經理陳贊仁表示，面板相關製程、修補、檢驗及自動化設備，仍占東捷營收比重約八成，居最大宗。上述四類產品線分布均勻，各約占四分之一。以地區分類，台灣和大陸各占一半。他指出，以在手訂單排程估計，交期會到2017年中，展望明年營運仍佳。至於東捷在半導體封裝廠的檢驗和測試設備，占營收比重尚不及二成，則有待加強。東捷已與俄羅斯科學院物理研究所雷射中心（PIC／GPIRAS）簽署合作備忘錄（MOU）。東捷透露，雙方合作包括特殊材料上的切割、修補、鑽孔等，但相關細節仍在研議中。東捷表示，目前台灣廠商的雷射源都依賴國外進口，東捷現階段將雷射應用於面板修補機，相關業務約占東捷設備業績10%至15%。看好半導體製程進入奈米世代，雷射應用精度高，東捷亦規劃進入半導體設備市場。東捷今年上半年每股仍虧損0.1元。法人估計，隨本季進入營運高峰期，繼第 2 季單季轉虧為盈後， 前三季營運數字有望轉盈。另外，鴻海與群創合作的路竹6代LTPS廠啟用，以及群創路竹的8.6代廠即將裝機，東捷今年來自兩岸的面板廠設備訂單仍將是營收及獲利主力。預估半導體檢測設備及轉投資的效益，將自2017年起陸續發酵。東捷昨天股價小跌0.1元，收16.8元，站穩各均線之上。
226,鴻海新聞,9/9/2016 3:25,鴻海入股大陸滴滴出行,"鴻海集團搶進共享經濟新創應用，昨（8）日公告集團旗下子公司Foxteq投資約1.2億美元（新台幣約37.6億元），取得小桔快智股權0.355%。由於小桔快智為滴滴出行的控股母公司，市場解讀，鴻海集團間接投資滴滴等叫車服務，完善車用市場一條龍布局。鴻海昨日公告說明，集團旗下子公司Foxteq取得小桔快智的313萬5,650特別股，是長期投資。按市場行情議價，換算持股0.355%，每單位價格為38.227美元，合計投資約1.2億美元。這項投資呼應鴻海集團董事長郭台銘看好的「共享經濟」應用，深化「往上走」經營思維，成為集團去年底陸續投資電動車租車、車聯網、參股電動汽車新創公司後，首度跨足行動叫車服務新領域，在車用服務市場實現硬軟整合。對照蘋果在8月決議投資中國線上租車服務公司滴滴出行10億美元，與昨天鴻海集團子公司投資小桔快智，顯示雙方有志一同。大陸媒體報導，包括騰訊、阿里巴巴、軟銀、蘋果、中國人壽都是經由投資滴滴出行控股母公司小桔快智，成為滴滴系列品牌公司的大股東。滴滴出行先前也公告，小桔快智為滴滴和快的合併後的營運主體，旗下包含滴滴、快的、順風車、專車等品牌，加上滴滴收購Uber中國，等於成為中國大陸最大的叫車服務平台，也是移動互聯網品牌。今年4月也在美國市場結合蘋果商務指定夥伴Lyft推出滴滴海外服務。而滴滴收購Uber中國後，分析師預估，滴滴市場價值約在350億美元，身為控股母公司的小桔快智擁有滴滴等多個知名品牌，加上二手車交易、車貸等新項目開發，身價也大幅提升，並傳計畫在2018年海外掛牌上市。"
227,鴻海新聞,9/9/2016 6:26,日經：夏普擬明年重返美國家用太陽能市場,日經新聞報導，夏普打算最快明年重返美國太陽能面板市場。夏普原本不堪價格激烈競爭，而在2014年退出美國家用太陽能設備的生產和銷售，目前只對辦公室和企業供應太陽能面板，結合儲能電池，成為能源管理系統的一環。報導說，重返美國市場後，夏普也打算對一般住家採取同樣的搭售方式。除目前在華盛頓州據點外，夏普也計劃在加州成立業務部。夏普原本持續縮減虧損的太陽能事業，只留下日本作為最後的根據地。鴻海入主夏普之後，即暗示考慮讓太陽能事業分家。如今，夏普正圖擴大亞洲和美國等地營業，以扭轉經營頹勢。
228,鴻海新聞,9/9/2016 9:36,蘋果股價重挫 蘋概股走跌,蘋果（Apple）新品發表會後，各界評價不一，8日股價下跌超過2.6%，拖累美股收黑，影響蘋果供應鏈股價走跌，包括台積電（2330）、鴻海（2317）、大立光（3008）、可成（2474）、廣達（2382）、和碩（4938）等全面走跌，盤中跌幅都超過1%。蘋果美國時間7日舉行新品發表會，推出新款智慧型手機iPhone 7及iPhone 7 Plus，以及第二代智慧錶Apple Watch，但各界評價不一，蘋果8日股價下跌2.62%，收在105.52美元，並拖累美股收黑。蘋果股價下跌，拖累供應鏈股價走跌，包括台積電、鴻海、鴻準、大立光、可成、廣達、和碩、臻鼎-KY（4958）、台郡（6269）、美律（2439）等全面走跌，盤中跌幅都超過1%。
229,鴻海新聞,9/9/2016 9:36,蘋果熄火 台股開盤下跌45點,蘋果昨日發表iPhone 7新機，未能引來市場驚訝聲，導致蘋果股價熄火昨天下挫2.6%，收在105.52美元。蘋果光暗淡隱憂，是衝擊台股今天一開盤即告走低的關鍵之一，此外，外資於昨日在期貨大幅減碼7000多口淨多單，也是造成短線多頭退縮另一主因。今天台股以下跌45.52點的9217.37點開盤，台積電（2330）、鴻海（2317）、日月光（2311）、大立光（3008）、可成（2474）、台郡及臻鼎-KY等蘋概股，全數以黑盤跌勢開出，且開盤後的賣壓依舊沈重，開盤半小時內一度下探9161點，下跌擴大逾90點，9200點大關跌破。證券專家指出，蘋果發表會未能帶給市場驚奇，新機賣點只集中在雙鏡頭、防水與拿掉耳機孔等，有讓粉果迷失望，不過，三星Note 7發生電池爆炸事件，對蘋果iPhone 7的銷售相當有利，投資人不妨再觀察一段時間，或許蘋果新機拉貨力道會優於市場預期，屆時，市場便會還給蘋果股價公道，而蘋果的台廠供應鏈受惠度將大大提升，股價自然也會受到鼓舞。
230,鴻海新聞,9/9/2016 13:41,"都是蘋果惹的禍？台股下跌近百點失守9,200","都是蘋果惹的禍？對台灣高科技產業影響很大的蘋果（Apple）公司，昨日發表iPhone 7新機，由於未能引來市場的高度共鳴與驚喜，導致蘋果股價昨天熄火下挫2.6%，收在105.52美元。蘋果光暗淡隱憂，衝擊台積電、鴻海、大立光等台股重量級蘋概股同步走低，加上昨日外資在期貨大幅減碼7000多口淨多單，下周面臨中秋節四天長假效應等利空因子影響，造成大盤開低走低、指數節節敗退，最後收在9164.88點，下挫98.01點，成交量667.46億元，9,200點大關失守。今天台股以下跌45.52點的9,217.37點開盤，台積電、鴻海、日月光、大立光、可成、台郡及臻鼎-KY等蘋概股，全數以跌勢開出，上述的蘋概股均屬盤面高權值股，一旦殺盤轉重，便容易構成跌勢拉大的恐慌局面，是盤中跌點再擴大至百點的癥結所在。元富投顧總經理劉坤錫指出，蘋果發表會未能帶給市場驚奇，新機賣點只集中在雙鏡頭、防水與拿掉耳機孔等，讓蘋果迷失望，但三星Note 7發生電池爆炸事件，對蘋果iPhone 7的未來銷售相當有利，投資人不妨再觀察一段時間，或許蘋果新機拉貨力道會優於市場預期，屆時，市場便會還給蘋果股價公道，而扮演蘋果的台廠供應鏈受惠度將大大提升，股價自然也會受到鼓舞。外資昨日雖在現貨市場持續買超16.5億元，反手在期貨市場大減7,140口多單，使得未平倉的淨多單降到85,709口，證券分析師表示，美國聯準會在9月啟動升息機率大降，促成國際熱錢仍靠泊在台灣等亞洲新興市場上，以目前外資仍持有期指淨多單8.5萬口的高水位，投資人無需恐慌外資會反多為空，短線上的調節，不妨以中性角度視之，但倘若出現連續多日期現貨的大減碼，那就得提防外資可能拉響的撤資警報。"
231,鴻海新聞,9/9/2016 13:54,台股回檔 大跌98.01點作收,台北股市今天開低走低，收盤跌98.01點，為9164.88點，跌幅1.06%，成交金額新台幣667.46億元。加權指數今天開盤為9217.37點，盤中最高9217.37點，最低9142.13點；不含金融股指數7794.83點，跌83.02點。八大類股漲跌幅為：泥窯股跌1.47%、食品股跌1.26%、塑化股跌1.27%、紡織股跌1.48%、機電股跌1.16%、造紙股跌0.12%、營建股跌0.28%、金融股跌1.09%。委買張數829萬9045張，委賣張數603萬3472張，成交張數354萬2788張。收盤時上漲2035家，下跌3940家，持平527家。成交量前5名個股為彩晶、友達、錸德、鴻海、群創。漲幅前5名個股為通嘉、華東、漢平、彩晶、清惠。跌幅前5名個股為台南-KY、隴華、錸德、茂矽、美食-KY。
232,鴻海新聞,9/10/2016 9:23,美股暴跌 台股獨步開盤急洩百點,美國鴿派也有升息聲浪，美股道瓊工業指數昨天暴跌近400點，三大指數都跌逾2%，台股因下周中秋節彈性放假，今日補上班，獨步全球開市，投資人不敢貿然交易，量能恐怕也有再陷「冷凍庫」危機，多重利空，都讓一開盤就面臨沉重壓力，台股以下跌80.07點報9084.81開出，一開盤跌幅0.87%，9100點大關失守，但隨後賣壓更重，急洩百點瞬間下跌逾139，最低下探9025點才稍止穩，台股今日面臨重要的9000點大關保衛戰。波士頓聯邦儲備銀行Eric Rosengren發言指升息等待太久將增加經濟風險，他認為儘管海外經濟體成長速度放慢疑慮依舊存在，但美國經濟表現相當好，如果聯準會貨幣政策再不改變經濟有過熱風險，緩慢緊縮貨幣政策才是適當的。此言一出，被視為是就連鴿派也轉強硬，美國升息機率大增，三大指數全跌，主要個股包括蘋果下跌2.26%、可口可樂與波音都下跌逾3%， 建商股更大跌4.56%、輕原油終場大跌超過 3.65%台股最大權值股台積電（2330）儘管有8月營收創新高利多，但不敵國際股災，一開盤就重挫2.5元，大跌逾1%，股王大立光（3008）也同樣大跌90元，跌幅逾2.5%，鴻海（2317）也下跌近1%，日月光（2311）跌近1%，同樣有營收利多加持的面板廠友達（2409）大跌3.8%、群創（3481）跌2.7%，蘋概與電子權值都中箭下馬，金融股也無力撐盤，獲利王富邦金（2881）上午跌近2%，國泰金（2882）也跌逾1.6%，30餘檔全數下跌，八大與所有類股全部下挫，僅造紙、橡樛、觀光跌幅較少，食品、塑化股也相對其他類股來得輕一些。美股昨天表現，包括道瓊工業指數下跌394.46點，或-2.13%，收在18085.45點。標普500指數下跌 53.49點，或-2.45%，收在2127.81點。那斯達克 下跌133.57點，或-2.54%，收在5125.91點。被視為是「股市恐慌指數」的芝加哥證券交易所波動率指數VIX上漲39.89%，收在17.5點。波動率創近期最大單日漲幅。美元反應也上漲，美元指數漲0.3%收在95.26點。、
233,鴻海新聞,9/10/2016 12:26,郭台銘捐家鄉山西千萬善款 疑遭亂用,"鴻海集團董事長郭台銘，早年向家鄉山西晉城市澤州縣南嶺鄉葛萬村，捐助1,000萬元（約150萬美元）款項興辦豬場，沒想到竟變成了糊塗帳，捐款監督人批評款項執行不清楚，豬場賺到的利潤全落承包商的口袋，都不敢告訴郭台銘。《南方都市報》報導，郭台銘早在2006年，向家鄉捐款建設，並且興辦豬場，並以產生的沼氣當作燃料，發展現代農村。可是，當地卻傳出養豬場和配套沼氣池建設，未達預期效果。當地政府更將原來只規畫養3000隻豬的豬場增至10,000隻，沼氣池卻一直沒有建成。當地村官更將這個原來生產村民燃料的豬場，變成純養豬項目，讓當地醫院一名女職工承包，每年扣除30萬元承包費後，所有利潤都落到這女職工口袋。負責為郭台銘監督捐款使用的郭小平稱，郭台銘的千萬捐款在使用過程中，沒有經過村兩委會議、沒有預算、決算、圖紙、花了錢也大部分沒有發票，帳目也不清楚。對於捐款被亂用，郭小平稱沒有告訴郭台銘：「這個我不能和人家說，哪能去跟人家溝通這個事情，挺丟人的！」郭台銘本人在10年前捐款後亦沒有再到過村內。"
234,鴻海新聞,9/10/2016 13:04,台商布局壯大印尼手機業 當地政府是推手也是風險,"華碩在內的全球智慧手機品牌業者看好東南亞最大手機市場印尼，紛紛擴大委託當地業者組裝，但面臨的風險是，如果印尼政府嚴格執行自製比率，擴產恐變得無利可圖。日經新聞指出，業者看好成長潛力，並非推動印尼智機生產業的唯一因素。2015年，印尼政府規定，國內販售的4G智機到2017年至少要有三成在國內製造，希望減少自中國和越南進口手機，以扶植本地產業。報導說，印尼的Sat Nusapersada公司替華碩組裝4G智機，成為支持華碩成長的推手。據IDC統計，華碩在印尼布局有成，去年在當地的市占率較2014年成長10個百分點至16%，成為第二大品牌。Sat Nusapersada 也替宏碁和大陸的海信集團代工組裝手機，最近又接到印度品牌Lava的訂單。南韓三星電子也在雅加達郊區一座家電廠啟動智機生產線，要讓在印尼銷售的智機全在當地生產。據 Sat Nusapersada 估計，印尼目前一年生產3,000萬支智機和手機，接近去年進口6,000萬支的一半。不過，日經新聞指出，在印尼大部分的生產僅僅是組裝，華碩、三星、印尼Polytron在印尼銷售的在地產4G手機雖有20%至30%，但幾乎所有零件都來自國外。報導說，「自製」的定義不明確，若印尼政府若嚴格執行規定，恐影響業者從國外採購低成本的零件，可能推升手機售價，受害的將不僅是消費者，業者也可能認為擴大營運無利可圖。鴻海放棄布局印尼，顯然就是不看好利潤。"
235,鴻海新聞,9/10/2016 18:21,鴻海8月營收3126億元 歷年同期新高,鴻海自結8月合併營收超過3000億元大關，來到新台幣3126.97億元，來到歷年同期新高。鴻海自結8月合併營收新台幣3126.97億元，較7月2930億元成長 6.72%，比去年同期 2929.15億元成長6.75%。法人指出，鴻海8月營收來到歷年同期新高。累計今年前8月鴻海自結合併營收2兆4863.82億元，較去年同期2兆5920.54億元減少4.08%。蘋果iPhone 7╱7 Plus於8日凌晨亮相，法人預期，鴻海從9月開始，可明顯受惠iPhone 7拉貨力道，預期鴻海第3季業績表現爬坡增溫，有機會優於第2季。市場預期，鴻海負責組裝大部分的iPhone 7和獨家組裝iPhone 7 Plus。
236,鴻海新聞,9/11/2016 0:59,鴻海營收雙成長 9月更好,"鴻海昨（10）日公告8月營收為3,126.97億元，月成長約6.7%，符合市場預期，隨著iPhone 7開始出貨，單月重回3,100億元以上，年增6.8%，改寫歷年同期新高，9月業績表現將更好。鴻海今年前八月累計營收則為2兆4,863億元，受上半年市場結構調整影響，年減4.1%。但隨著客戶新品推出，8月營收月增率、年增率同步轉正。台股昨天大跌，但鴻海逆勢上漲0.3元，收78元。鴻海公布營收後說明，8月整體3C應用皆較上月成長。以消費電子、網通和電腦運算三大產品應用別來看，電腦運算相對月成長幅度最大，通訊、消費電子產品二類的月增幅相當。據河南鄭州海關最新統計，鴻海旗下富士康鄭州廠9月開始出貨蘋果iPhone 7，新機運往美國、英國、荷蘭、義大利等地逐步放量。市場預期，隨著蘋果新機首波全球開賣據點增加，鴻海第4季業績將登上全年高峰。 鴻海一向不評論單一客戶訊息，昨日僅指出，按照歷年的成長與發展慣性，9月業績表現將更好，第4季將呈現傳統旺季表現。另一方面，市場也高度關注，聯邦準備理事會（Fed）官員暗示，美國央行可能最快今年調升利率，升息對電子大廠鴻海下半年業外收益影響。鴻海說明，產品報價以美元為主，至於美元資產方面表現也相對人民幣資產穩健。在財務團隊把關之下，預期能持續管控業外風險。分析師則普遍預估，若美國升息帶動美元走強、新台幣貶值，有助於外銷電子廠毛利率提高，預期美元兌新台幣每升值1%，挹注鴻海營益率增約0.05個百分點。市場觀察，外銷電子大廠在收款選擇美元報價、成本則用非美元計價，若美元走強、新台幣趨貶，對毛利率有加分效果。鴻海集團旗下鴻準昨公告8月營收76.75億元，月成長11.9%，登上今年以來單月新高，但連兩月不如去年同期，年減約3%。鴻準前八月累計營收513.59億元，年衰退20.1%。"
237,鴻海新聞,9/12/2016 14:32,獨董郭台銘加持 創新工廠籌資逾213億元,外電報導，在鴻海富士康支持下，創新工場完成了約6.75億美元（人民幣45億元，折算新台幣約213.6億元）的融資，其中在3億美元新創基金方面，富士康為主要投資者。華爾街日報報導，谷歌和微軟前高管李開復擔任聯合創始人的創新工場完成了6.75億美元的籌資。目前李開復也在鴻海集團董事長郭台銘邀請之下擔任獨立董事，協助集團創新發展。外電報導也指出，郭台銘是創新工場的另外一位創始股東。大陸媒體報導，李開復表示，未來所籌資金將投入以人工智慧（AI）為主導、開發企業軟件和製作娛樂內容的初創公司。
238,鴻海新聞,9/12/2016 9:20,升息隱憂 台股開盤跌22點,"台股上周在美國聯準會升息機率加溫，歐洲央行並未擴大寬鬆政策下，指數一度回測9,000點關卡，光是上周五、六兩日就下跌209.2點，引來市場對於中秋節提前變盤疑慮，本周並將面臨9,000點保衛戰，法人表示，國際股市和外資動向，及中秋節前的台股變化，都將是影響後市大盤的關鍵。亞股今日開盤反應上周五國際股重挫，日韓股市均跌逾1%，但台股上周六獨家開盤已率先反應，今日開盤小跌22點，開在9031點，但隨後跌破9000點大關，大立光（3005）賣壓較重，台積電（2330）、鴻海（2317）、金控等權值股也開低。美股又傳升息利空，美元指數走強，新台幣一度貶破31.6元，使得上周六獨家開盤的台股面臨重大挑戰，三大法人合計賣超88.11億元，大型權值股成外資殺聲重心，指數摜破9100點，10日及20日均宣告失守，回測季線及9000點關卡。台股本周只開市3天，受短期技術面轉弱、中秋長假及國際情勢影響，市場恐持續觀望，目前季線為重要多空關卡。日盛投顧認為，台股回檔並未出現爆量長黑情形，台股近兩日連續拉回主要是受歐美股市下跌及外資調節影響，預期中秋節前指數在9,000點上下震盪整理。本周中秋節前僅3個交易日，面臨連續假期因素，預期市場觀望氛圍濃厚且成交量將持續保守，但預期節後資金買盤將回籠，加上時序將進入9月下旬，投信作帳季節推動下，中小型股及相關集團股將可望有所表現。法人也分析，台股指數本波已漲逾1000點，修正回檔本屬正常，加上外資賣超，又有美國升息疑慮，市場難免有所擔憂，預料大盤將回測季線支撐。至於國際市場要關心本周包括德國、英國及法國都將公布通貨膨脹率等相關數據，另外，英國也將在15日舉行貨幣政策會議，美國也將公布通貨膨脹率，這些數據結果都會牽動各國後續貨幣政策，屆時國際股市變化將左右台股神經。"
